Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
10.0	20	12	74	sanlpetierissmre	1151	0.467
10.0	40	9	84	eschfatetarnutet	660	0.581
10.0	60	26	363	dtsecetpnarasime	1615	2.862
10.0	80	18	301	cpleeartdrtooesu	1435	2.233
10.0	100	31	492	nsdslirefeatplst	1660	3.424
10.0	120	29	599	eanostrsaietcpno	1648	4.602
10.0	140	25	619	sgtseanepireestd	1941	4.942
10.0	160	14	795	andhseisretacanr	1536	6.275
10.0	180	31	1187	ponslireeathcnse	2141	9.606
10.0	200	26	819	otsrraieeltnseas	2118	6.984
10.0	220	31	520	hesectrpsaeitnld	1908	4.305
10.0	240	45	1871	slnseiagntredest	2482	16.297
10.0	260	29	900	sederntseaiemlpr	2646	8.441
10.0	280	36	1294	stosenipdralsets	2750	11.058
10.0	300	30	1171	rsdtcenilarebets	2355	10.53
10.0	320	43	2374	dipscelrratesins	2341	21.975
10.0	340	34	1540	psrdleteeantsris	2041	12.434
10.0	360	30	1326	mdlpeaisrtenostr	2183	11.303
10.0	380	40	1184	cesdrinepotasers	2520	10.607
10.0	400	26	2820	sngsteilrratspes	2739	26.426
10.0	420	33	2213	sedstirelantpeso	3103	25.958
10.0	440	37	1714	ptsdalepinarstes	2510	17.522
10.0	460	27	1684	hslbetaerinrsedo	2416	15.537
10.0	480	47	3552	hseretaporilsnes	2809	34.629
10.0	500	37	2380	gsisentlreaedsrb	2375	20.9
10.0	520	24	1376	eidgrtnesaerilts	2059	11.491
10.0	540	50	3399	plmdsaiertnsseta	3042	36.015
10.0	560	41	2327	segatrtneaislpme	2488	20.621
10.0	580	25	1180	rtebesargnitades	2363	11.379
20.0	20	21	86	mstieonolocesisa	596	0.377
20.0	40	24	215	oaetbrtsesenlliw	1066	1.226
20.0	60	34	333	itemeradtselyhts	1583	2.577
20.0	80	26	511	serontstaieeercd	1593	3.898
20.0	100	40	615	tsesrtsreaoudlct	1844	4.247
20.0	120	34	467	ncedsarstntedeit	1564	3.073
20.0	140	27	716	redasepotarsnite	2025	5.89
20.0	160	34	607	sreirtsneaigdles	1990	4.558
20.0	180	52	1008	sresetndriaepslr	2354	8.123
20.0	200	39	569	rerastniiaselert	1710	4.748
20.0	220	28	801	sdeseritgnaliser	2534	7.365
20.0	240	27	661	tseteralsgitaens	1949	5.461
20.0	260	44	1068	sealdntseietsrar	2204	9.571
20.0	280	66	1697	destrntreiaetmls	2431	16.585
20.0	300	30	1013	enorstibesaldreg	2445	9.089
20.0	320	41	865	ameseridstenalts	2127	7.786
20.0	340	45	1976	aerpntaesitslero	2267	18.008
20.0	360	21	910	sedpniragotelash	2303	8.18
20.0	380	40	2091	gasemntlieiastrs	2461	19.767
20.0	400	53	3223	tdeserntreaisclp	2784	27.657
20.0	420	50	1609	ltshiaeeenrdrste	1998	14.166
20.0	440	36	1547	lpstioaentrlgesy	2302	14.397
20.0	460	26	931	stsuperorahescts	1893	7.432
20.0	480	43	1552	wretpitssenaredi	2086	13.802
20.0	500	41	1629	rtsoeatrplieseds	2359	14.337
20.0	520	46	2128	rsabetletierangs	2304	18.51
20.0	540	34	2029	plessatrntrsgied	2189	15.897
20.0	560	55	2519	oresstaneligdres	2882	24.241
20.0	580	43	2151	sarcteitatsnsreg	2093	19.097
30.0	20	26	192	rslqueetisranobes	1543	1.156
30.0	40	37	291	setpcnrshaieblst	1985	1.989
30.0	60	55	433	lhslcaettsrnorei	1423	2.605
30.0	80	48	342	sniketrssaeoclmd	1756	2.341
30.0	100	43	307	snpudeoseratsthe	1503	1.915
30.0	120	39	600	mtadesilsnesator	1756	4.765
30.0	140	37	666	serwtrndeaieslts	2346	6.053
30.0	160	68	771	slaratisenepdrst	2140	6.433
30.0	180	44	1029	sasrperelatecins	2462	9.778
30.0	200	57	1353	tapsriladengtsre	2261	10.984
30.0	220	43	1378	rilsnetastrpnoes	2067	11.545
30.0	240	35	927	tseperalsnitgdes	2774	8.253
30.0	260	49	1395	desslenttiresaps	2523	14.099
30.0	280	38	1802	spaneritatescser	2143	18.001
30.0	300	50	1920	dinstertsaieelcn	2071	15.761
30.0	320	26	1382	sredntasietclsro	2116	12.747
30.0	340	41	1172	hsidopelirassted	2127	9.675
30.0	360	37	1070	talesitscenodars	2017	9.7
30.0	380	35	1210	sesatirenaptceso	2260	11.461
30.0	400	33	2096	teersnrteiasdlpe	2657	20.974
30.0	420	42	2280	sresetaptnilosed	3026	25.299
30.0	440	40	2248	hsdecerttaernslp	2079	19.135
30.0	460	64	1563	mbldeaiestrsoret	2419	14.58
30.0	480	36	1637	tisotertsanepidr	2147	15.256
30.0	500	46	2487	sresetanrpituose	1925	21.613
30.0	520	37	1319	dhsttecosarsnter	1829	10.875
30.0	540	49	2325	coeaslrdeaiegnts	2741	22.525
30.0	560	64	1316	perslattrisegner	2392	11.833
30.0	580	37	2897	palssinetertpaso	2495	30.167
40.0	20	16	77	anessatreilenipd	1156	0.408
40.0	40	24	295	esnhrtsilaerscid	1218	1.67
40.0	60	31	312	erulrtassesewohu	1001	2.209
40.0	80	68	375	gertlansaitevtcd	1547	2.113
40.0	100	46	786	dnseeitrsrattnes	2083	6.935
40.0	120	40	485	atdtsieseratqucel	1353	3.632
40.0	140	29	328	oravsteleieslnra	1516	2.575
40.0	160	67	769	sdesrrtloeatmpsh	2040	5.478
40.0	180	35	493	soatptrsaiealgnd	1990	3.77
40.0	200	25	472	gesenitrlaraseco	2053	4.432
40.0	220	84	1146	srlstaeltnitsers	2042	8.457
40.0	240	46	1039	sonatertareswmid	1770	8.558
40.0	260	39	953	asertratenissdem	2402	9.097
40.0	280	53	1524	sigstlneeaeisrmd	2367	13.317
40.0	300	41	715	tilasempnrasitet	1877	5.75
40.0	320	33	1297	nesolirtbateresd	2472	12.808
40.0	340	74	1534	sligatenerisspat	2565	14.025
40.0	360	53	2377	dtlpeiaesnrgates	2744	23.899
40.0	380	67	1721	edatsresetiptnal	2713	17.156
40.0	400	34	641	stchnaesrelrtsta	1820	5.238
40.0	420	34	1424	dilstegesranetil	2038	12.264
40.0	440	64	3137	hsecetaloripsnes	2863	30.614
40.0	460	42	1327	usidertetaesinsr	1944	12.044
40.0	480	93	1661	snidoterrsapsetl	2189	14.697
40.0	500	38	1947	dprcoeaertnsseti	2217	19.991
40.0	520	70	1529	tsrbaetadnisresl	1714	11.368
40.0	540	55	2448	srosetrplatemins	2374	21.596
40.0	560	60	2959	denssitetarrleps	2798	28.587
40.0	580	73	2341	sersnipotalesers	2791	21.014
50.0	20	66	262	ytisateneratspis	1647	1.742
50.0	40	45	210	drsiietmtnatisep	1567	1.341
50.0	60	94	450	dtmbeiaeslrtotes	2172	3.181
50.0	80	66	751	laesdltrseiarnpm	2432	5.683
50.0	100	55	482	resdnatolireseds	2258	3.933
50.0	120	51	812	sonspirelatdstes	2401	6.465
50.0	140	48	541	rlcsseaitrntedec	1848	4.329
50.0	160	55	1115	tpstmelitarnsegs	1812	8.784
50.0	180	89	1747	ntlpeiassretotpr	2137	15.097
50.0	200	58	998	norssetetarilegn	1913	9.409
50.0	220	47	966	asedtrnteiatdlsw	2432	8.952
50.0	240	93	1825	bresaitldtairens	2030	14.95
50.0	260	58	539	ensftriletaedstr	1947	4.273
50.0	280	124	1387	colsratisensideg	2261	11.493
50.0	300	82	2341	dslpreiaprtnlaes	2749	23.638
50.0	320	78	2035	mesanirssteperad	2042	18.742
50.0	340	92	3934	asedtrinelatspes	3116	36.869
50.0	360	62	1492	seedtrnteiasslpm	2975	14.68
50.0	380	80	1257	gnseaeiprtaloseb	2210	10.229
50.0	400	49	2830	psldeaiertnrosed	2987	27.613
50.0	420	112	1713	csedlaterinrtges	2274	14.136
50.0	440	65	2492	seedrntreiasslpe	2995	24.646
50.0	460	79	1758	gnesediteralster	2436	16.669
50.0	480	77	2930	linspateserstide	2765	30.201
50.0	500	44	2173	sebotartliessdng	2483	19.065
50.0	520	62	1972	desilrtmgiaeenst	2171	17.721
50.0	540	56	3053	lpstaiesrtnrseed	2745	31.453
50.0	560	63	2251	srebdtalenimsres	2816	19.927
50.0	580	111	2384	dgnraiesstrdheap	2260	22.043
60.0	20	24	119	erettnsnietswryr	655	0.621
60.0	40	58	409	upirsretaensdite	1636	2.893
60.0	60	88	252	odeserntseraxidg	1395	1.292
60.0	80	26	190	impsdeatsnrretep	1348	1.356
60.0	100	59	535	arpotiessnsaretl	1792	3.877
60.0	120	59	815	lastsenetirglaps	2187	7.127
60.0	140	60	1186	rspmelaeiteranst	2435	10.313
60.0	160	80	858	gsrenetrdiasrelt	2054	6.444
60.0	180	87	1631	eseagntrraisgelp	2476	14.344
60.0	200	100	1692	lsseeatrhresscap	1766	14.635
60.0	220	124	1485	easegntrreiatslm	2523	12.782
60.0	240	84	1220	crstaeeirtndsais	2294	11.296
60.0	260	55	1820	dsnapetiralssedi	2323	16.468
60.0	280	89	1690	eiestrntsiaealmd	2268	15.556
60.0	300	88	1705	rpsneaietrldesel	2420	15.652
60.0	320	91	1773	sticenalgresasth	2742	15.893
60.0	340	114	1703	remptalinesedtrs	2157	13.975
60.0	360	94	1245	gltseaetprneresd	1891	10.719
60.0	380	102	1950	seipcnrseatepsli	2257	17.589
60.0	400	109	3294	dtrsselanitemars	2506	30.724
60.0	420	87	1961	etissarnmetedisr	2304	18.741
60.0	440	79	1954	rdeleragstinalse	2486	17.313
60.0	460	70	1946	psrtlateeinergsd	2688	18.389
60.0	480	94	1960	aiestnrtseaehcld	2313	18.08
60.0	500	97	3181	sadipenelirssate	2493	29.791
60.0	520	74	2830	stslneaedirplest	2539	27.149
60.0	540	79	2321	srlptaisenetdrsh	2560	19.496
60.0	560	95	2378	senstirolatepesh	2814	25.624
60.0	580	118	2444	senaritstalisepm	2531	23.076
70.0	20	27	103	merosrpteiastnwl	1420	0.58
70.0	40	97	543	etapsresoisrnneu	1371	3.302
70.0	60	44	372	seasrmlgeioeptsd	1452	2.295
70.0	80	60	778	ondrtiaeeslpreso	1976	5.961
70.0	100	56	452	ertbtlatsiesnerh	1666	3.265
70.0	120	129	1052	sebddalonetoesrt	1524	7.116
70.0	140	92	1142	hesprtaranecilsd	2086	9.523
70.0	160	116	1042	staserileneddstc	2218	8.722
70.0	180	109	984	ritiderssneatitp	1623	7.71
70.0	200	85	344	quntciseeapedtrit	1128	1.904
70.0	220	133	1053	htassetpniregosa	2011	8.456
70.0	240	78	1278	onapetilsresocat	2325	11.471
70.0	260	108	2096	sedstnreeaitplsa	2872	19.315
70.0	280	131	1352	sraeetlpniessard	2320	10.442
70.0	300	99	1855	stndeaierlprtose	2657	17.087
70.0	320	108	1253	gesolanttireseds	2962	11.441
70.0	340	120	1941	dinatergsaespltr	2546	16.06
70.0	360	96	2031	aesamrlpeiaednts	2409	18.287
