Param1	Param2	Boards Accepted	Boards Scored	Board	Score	Time
1	10	20	40	nocrnrquiyreoflt	118	0.34
1	20	82	164	segfrinttelunipo	826	0.494
1	30	255	510	pseahastcoteburs	1310	1.362
1	40	247	494	pesulprhiaeectsd	1783	1.804
1	50	100	200	jattpeiniretodsl	892	0.539
1	60	357	714	eressnimotarrpes	2105	3.001
1	70	443	886	sreoeirlntaposeh	1757	3.033
1	80	320	640	celtpataserietns	1596	2.386
1	90	312	624	osiocrtnsaesmpdr	1840	2.43
1	100	381	762	lscnaotaniredest	2191	2.964
1	110	420	840	dnsberepetasslts	1842	3.613
1	120	403	806	tsgbrelaeailtspo	1712	3.141
1	130	689	1378	dpassertlitepans	3168	6.238
1	140	779	1558	blpdiaessntreted	2603	6.5
1	150	845	1690	sreselaptnirised	2656	7.698
1	160	1297	2594	setsntrneiaedlps	2987	12.121
1	170	706	1412	pesamanrlitesest	2399	6.528
1	180	582	1164	lepssarotetuishc	2026	5.032
1	190	538	1076	trhwgsetnetarils	1911	4.103
1	200	956	1912	tretsetsnilagare	2144	7.337
1	210	1134	2268	lpshoaettrndseis	2510	10.064
1	220	1525	3050	osrdtregetalsnib	2642	14.474
1	230	908	1816	seaurtnraiesslth	2331	7.645
1	240	566	1132	sapetlesiertdsna	2041	4.431
1	250	811	1622	satsrtleeiarsnts	2471	7.425
1	260	818	1636	slngeiaeprtsoseh	2741	8.593
1	270	1304	2608	sorenitsdeaisrlp	2489	11.006
1	280	450	900	aevrsnreteisrala	1578	3.659
1	290	1619	3238	aiestnrtseaodplb	2544	13.783
2	10	21	63	ahttshtdveaesnrb	548	0.132
2	20	191	573	vsseeitrdreotaps	1745	1.849
2	30	198	594	setcgrisatensehr	1462	1.878
2	40	258	774	wdpcseastretonir	1904	2.908
2	50	169	507	edtbtsouarnsedes	1219	1.368
2	60	162	486	gisanateserrdecu	1757	1.959
2	70	112	336	hcoetsrteiayydhw	671	0.789
2	80	313	939	erntsiesotaeerpl	1776	3.533
2	90	436	1308	ersptseaaetldris	1964	5.927
2	100	474	1422	relgpanesitstera	2545	6.294
2	110	730	2190	lerasitsgnalereb	2274	9.089
2	120	256	768	gespniraatecchsd	1924	2.936
2	130	423	1269	arespitanetresre	1626	4.862
2	140	733	2199	dnspetalsrierend	2599	9.163
2	150	1352	4056	segsrtnreiaeslps	3197	16.933
2	160	455	1365	stedsnrseiaoplch	2100	5.17
2	170	548	1644	tinclerosatstsed	1928	6.394
2	180	323	969	lpchaesartngsiae	1826	4.14
2	190	755	2265	tesenrtseiaecmlp	2221	9.015
2	200	528	1584	esoitnrcaieaslts	2230	6.781
2	210	610	1830	decsratutirosens	2434	7.723
2	220	639	1917	oisddlaeeetrrsni	2075	7.972
2	230	1682	5046	desatirtsaeompls	2459	23.543
2	240	927	2781	mprdiaeslnteesir	2360	11.867
2	250	432	1296	psedtanelirtdesa	2520	5.948
2	260	1244	3732	dresenalstiprese	2861	16.8
2	270	538	1614	dnepetisartapser	2129	7.196
2	280	1264	3792	etifsraleiesdntr	2358	17.532
2	290	644	1932	sedslinepartsets	3155	9.472
3	10	71	284	seinnergpitevsar	1174	0.764
3	20	96	384	twogsoeheslcrtah	692	0.639
3	30	101	404	teesndrteiselaph	1422	1.258
3	40	140	560	netetirssaniptse	1441	1.617
3	50	127	508	plstaierrtneeats	2547	1.972
